Churn,tenure,Contract,MonthlyCharges
True,48,"Month-to-month",45.300
False,24,"Month-to-month",99.650
False,33,"Two year",80.600
False,66,"Two year",85.250
False,3,"Month-to-month",69.550
False,13,"Two year",35.400
False,63,"Two year",83.500
True,23,"Month-to-month",83.800
False,52,"Two year",25.600
False,3,"Month-to-month",20.750
False,10,"Month-to-month",56.750
False,72,"Two year",20.100
False,29,"Month-to-month",98.800
False,62,"One year",104.850
True,41,"One year",73.000
True,43,"Month-to-month",77.850
False,26,"Two year",105.450
False,19,"Month-to-month",96.800
False,72,"Two year",24.250
False,45,"One year",102.150
False,32,"One year",64.850
False,41,"Month-to-month",25.250
False,65,"Two year",24.750
True,55,"Month-to-month",96.750
False,11,"Two year",19.650
False,49,"Two year",74.450
False,61,"Month-to-month",99.400
False,25,"Month-to-month",19.150
True,1,"Month-to-month",69.500
False,23,"One year",49.450
False,21,"Month-to-month",73.700
True,1,"Month-to-month",79.700
True,5,"Month-to-month",79.900
False,24,"One year",74.400
True,27,"Month-to-month",88.300
False,70,"Two year",19.800
True,5,"Month-to-month",75.550
False,46,"Two year",20.200
False,2,"Month-to-month",71.650
False,57,"Two year",20.100
True,1,"Month-to-month",71.100
False,60,"One year",100.500
False,37,"Two year",62.800
True,1,"Month-to-month",70.450
False,28,"One year",100.350
False,24,"Month-to-month",20.300
False,62,"One year",92.050
True,18,"One year",20.150
True,5,"Month-to-month",54.200
False,20,"Month-to-month",20.350
True,1,"Month-to-month",70.750
True,35,"One year",102.350
False,52,"Month-to-month",50.500
True,30,"Month-to-month",85.000
False,72,"Two year",42.100
True,15,"Month-to-month",75.650
False,70,"Two year",114.600
False,66,"Two year",65.700
False,55,"Month-to-month",74.000
True,55,"Month-to-month",85.450
False,57,"One year",71.100
False,72,"Two year",109.550
False,28,"Month-to-month",20.500
False,54,"Two year",74.550
False,24,"Month-to-month",79.850
False,2,"Month-to-month",62.150
False,12,"Month-to-month",21.050
False,51,"One year",79.600
False,13,"Month-to-month",73.350
False,58,"Two year",70.100
False,18,"One year",54.400
False,29,"Two year",19.550
False,72,"Two year",74.550
False,71,"Two year",23.900
False,70,"Two year",44.600
True,9,"Month-to-month",95.500
False,20,"Month-to-month",95.500
True,69,"One year",78.600
False,63,"One year",104.500
False,7,"Month-to-month",61.400
False,69,"Two year",43.950
True,5,"Month-to-month",25.900
False,9,"Month-to-month",80.550
False,46,"Two year",99.650
False,60,"One year",97.950
True,27,"Month-to-month",95.550
False,16,"Month-to-month",90.700
True,22,"Month-to-month",83.300
False,41,"One year",101.600
False,4,"Month-to-month",72.750
False,24,"Month-to-month",88.950
False,38,"Two year",20.300
False,25,"Month-to-month",78.350
False,40,"Month-to-month",80.000
True,8,"Month-to-month",49.850
False,13,"Month-to-month",19.850
False,64,"Month-to-month",91.800
True,62,"Month-to-month",100.150
False,20,"Month-to-month",69.800
True,14,"Month-to-month",46.350
False,57,"Two year",69.750
False,12,"Month-to-month",69.850
False,59,"Two year",25.450
False,59,"Two year",75.950
True,53,"Two year",19.750
False,45,"One year",78.750
False,50,"Two year",19.800
True,20,"Month-to-month",89.000
True,1,"Month-to-month",25.250
False,70,"Two year",19.200
True,1,"Month-to-month",25.050
True,64,"Two year",47.850
True,49,"Month-to-month",75.200
True,28,"Month-to-month",74.900
False,72,"Two year",111.900
False,13,"Month-to-month",81.900
False,4,"Month-to-month",18.850
False,53,"Two year",18.700
False,63,"Month-to-month",81.550
False,10,"Two year",29.600
False,56,"One year",19.950
True,10,"Month-to-month",45.550
False,65,"One year",93.550
False,1,"Month-to-month",48.450
True,21,"Month-to-month",41.900
False,29,"Two year",20.200
False,72,"Two year",24.150
True,22,"One year",67.500
True,23,"Month-to-month",90.050
False,40,"One year",70.750
True,2,"Month-to-month",76.500
True,13,"Month-to-month",84.050
True,16,"Month-to-month",95.600
True,67,"Month-to-month",102.950
False,72,"Two year",21.000
False,3,"Month-to-month",82.300
True,47,"Month-to-month",80.350
False,4,"Month-to-month",70.650
False,18,"Month-to-month",73.550
True,21,"Month-to-month",104.400
False,62,"One year",70.750
True,7,"Month-to-month",98.050
False,29,"Month-to-month",48.950
False,48,"One year",60.600
False,53,"One year",78.750
False,6,"One year",19.000
False,22,"One year",56.250
True,1,"Month-to-month",25.800
False,72,"Two year",99.400
False,34,"Month-to-month",85.200
False,48,"One year",69.550
False,21,"Month-to-month",28.500
False,71,"One year",97.650
False,1,"Month-to-month",20.250
False,1,"Month-to-month",20.450
False,32,"Month-to-month",93.500
False,1,"Month-to-month",54.650
False,63,"Two year",71.900
False,72,"Two year",116.400
False,53,"Two year",105.550
True,1,"Month-to-month",69.250
False,50,"One year",75.500
True,15,"Month-to-month",101.100
False,21,"Month-to-month",86.050
True,1,"Month-to-month",95.000
True,2,"Month-to-month",70.750
True,65,"One year",72.450
False,52,"Month-to-month",85.800
True,13,"Month-to-month",83.200
False,4,"Month-to-month",19.650
True,46,"One year",110.000
True,53,"One year",94.850
False,40,"One year",105.950
False,23,"Month-to-month",54.150
True,4,"Month-to-month",85.650
False,57,"Month-to-month",58.750
False,49,"Month-to-month",95.400
False,9,"Month-to-month",68.250
True,4,"Month-to-month",101.700
False,61,"Two year",20.250
False,70,"Two year",75.500
False,13,"Month-to-month",65.850
False,34,"Month-to-month",65.000
True,9,"Month-to-month",74.550
False,57,"Two year",93.750
True,12,"Month-to-month",61.650
False,7,"Month-to-month",100.400
True,4,"Month-to-month",74.900
True,1,"Month-to-month",74.450
False,44,"One year",85.250
False,45,"One year",34.200
False,36,"One year",89.650
True,55,"One year",100.000
False,69,"Two year",97.650
True,9,"Month-to-month",79.900
False,71,"Two year",90.300
False,30,"Month-to-month",94.300
False,52,"One year",20.400
False,52,"Two year",25.050
True,24,"Month-to-month",55.650
False,3,"Month-to-month",70.700
False,72,"Two year",53.800
False,72,"Two year",99.150
True,4,"Month-to-month",50.050
True,1,"Month-to-month",82.300
False,51,"One year",69.750
False,51,"One year",56.150
False,72,"Two year",86.650
False,64,"Month-to-month",86.800
True,2,"Month-to-month",25.050
True,70,"One year",109.500
False,13,"Month-to-month",45.300
False,52,"One year",91.250
False,7,"Month-to-month",20.750
False,4,"Two year",19.900
True,2,"Month-to-month",95.850
False,46,"One year",33.700
False,54,"Two year",63.350
True,1,"Month-to-month",19.300
False,72,"Two year",65.700
False,66,"Two year",74.600
False,16,"Month-to-month",112.950
True,3,"Month-to-month",88.350
False,11,"Month-to-month",65.150
False,71,"Two year",59.700
True,9,"Month-to-month",34.700
False,57,"Two year",20.650
True,9,"Month-to-month",100.500
False,62,"One year",23.750
False,72,"Two year",19.900
False,66,"One year",108.100
True,16,"Month-to-month",39.000
False,16,"Month-to-month",20.600
False,58,"One year",19.550
False,4,"Month-to-month",80.150
False,72,"Two year",20.300
False,67,"One year",109.900
False,71,"Two year",90.400
False,72,"Two year",25.400
False,15,"Month-to-month",46.300
False,11,"Month-to-month",25.200
False,43,"One year",24.450
True,3,"Month-to-month",55.100
False,24,"One year",78.400
False,52,"One year",74.000
False,13,"Month-to-month",30.150
True,1,"Month-to-month",70.850
False,55,"Two year",77.800
False,42,"Two year",99.000
False,2,"Month-to-month",20.750
False,1,"Month-to-month",75.500
True,27,"Month-to-month",81.450
False,17,"Month-to-month",66.700
True,2,"Month-to-month",34.700
False,27,"Month-to-month",83.850
True,52,"Month-to-month",49.150
False,45,"One year",96.750
False,71,"Two year",19.100
False,36,"Two year",18.550
False,15,"One year",20.100
False,20,"Month-to-month",89.400
False,71,"Two year",19.800
False,24,"One year",21.050
False,71,"Two year",111.250
True,9,"Month-to-month",40.650
False,66,"Two year",89.900
False,30,"Two year",19.400
False,47,"One year",86.950
False,7,"Month-to-month",75.350
True,1,"Month-to-month",35.550
False,46,"Month-to-month",44.950
True,53,"Month-to-month",85.450
False,62,"Two year",20.000
False,70,"Two year",48.400
False,16,"Month-to-month",94.650
False,15,"Month-to-month",58.950
False,45,"One year",100.300
False,72,"Two year",105.600
False,13,"Two year",19.550
False,6,"Month-to-month",60.900
False,18,"One year",20.050
False,68,"Two year",103.750
False,64,"One year",113.350
True,34,"One year",64.400
False,5,"Month-to-month",75.150
True,20,"Month-to-month",82.400
False,64,"Two year",104.050
False,26,"Month-to-month",85.700
True,5,"Month-to-month",53.850
False,2,"Month-to-month",20.050
True,13,"Month-to-month",102.250
False,59,"One year",69.100
False,17,"Month-to-month",65.750
True,9,"Month-to-month",79.550
True,10,"Month-to-month",84.600
True,5,"Month-to-month",85.400
True,54,"One year",103.950
False,56,"Month-to-month",86.400
True,4,"Month-to-month",101.150
True,2,"Month-to-month",19.500
False,62,"Two year",69.400
True,27,"Month-to-month",101.250
True,1,"Month-to-month",45.700
False,53,"One year",93.450
True,54,"Month-to-month",104.300
False,23,"One year",64.900
False,6,"One year",19.450
False,8,"Two year",44.550
True,11,"Month-to-month",99.500
False,61,"One year",96.500
False,34,"Month-to-month",100.850
False,56,"Month-to-month",105.350
False,38,"One year",20.100
False,69,"Two year",20.200
False,72,"Two year",115.150
False,70,"Two year",113.000
False,7,"Month-to-month",29.800
False,61,"Two year",80.800
False,55,"Month-to-month",85.500
False,61,"Two year",69.900
False,14,"Month-to-month",95.800
True,72,"Two year",104.150
False,22,"Month-to-month",83.050
True,3,"Month-to-month",83.750
False,60,"Month-to-month",89.450
True,3,"Month-to-month",75.250
False,1,"Month-to-month",19.550
True,7,"Month-to-month",74.650
False,4,"Month-to-month",29.900
False,13,"Month-to-month",80.500
False,3,"Month-to-month",50.150
False,63,"Month-to-month",89.600
False,36,"One year",76.350
False,54,"One year",100.050
False,47,"Two year",20.250
False,41,"Two year",20.650
False,13,"Month-to-month",53.450
True,35,"Month-to-month",100.250
True,10,"Month-to-month",80.700
False,30,"Two year",80.800
False,44,"Month-to-month",92.950
False,47,"Two year",85.300
True,58,"Month-to-month",98.700
False,52,"One year",30.100
True,7,"Month-to-month",80.300
True,20,"Month-to-month",73.650
True,13,"Month-to-month",98.150
False,12,"Month-to-month",35.500
False,54,"One year",94.100
False,13,"One year",19.650
False,7,"Month-to-month",69.900
False,42,"One year",99.000
False,65,"Two year",104.100
False,49,"One year",109.200
False,62,"Two year",20.300
True,32,"Month-to-month",96.200
False,11,"One year",20.000
True,1,"Month-to-month",70.800
False,37,"One year",19.800
True,1,"Month-to-month",89.550
False,1,"Month-to-month",19.650
False,69,"Two year",24.250
False,72,"Two year",70.650
False,26,"One year",90.100
False,3,"Month-to-month",29.200
False,62,"Two year",39.000
True,69,"Month-to-month",99.450
False,26,"One year",50.350
False,40,"Month-to-month",50.850
False,33,"One year",51.450
False,72,"Two year",80.850
False,3,"Month-to-month",54.200
True,18,"Month-to-month",49.400
False,68,"One year",60.650
False,19,"Month-to-month",48.800
False,7,"Month-to-month",45.750
True,1,"Month-to-month",20.100
False,56,"One year",94.800
True,7,"Month-to-month",20.000
True,5,"Month-to-month",96.500
False,66,"Month-to-month",100.800
False,7,"One year",19.450
False,1,"Month-to-month",19.050
False,8,"Month-to-month",69.700
False,62,"One year",106.050
False,56,"Month-to-month",90.550
False,41,"One year",24.850
False,57,"Two year",74.350
True,1,"Month-to-month",24.800
False,38,"One year",89.100
True,11,"Month-to-month",74.950
False,26,"Month-to-month",69.050
False,72,"Two year",80.450
False,30,"Month-to-month",101.500
True,1,"Month-to-month",19.550
True,1,"Month-to-month",70.850
False,68,"One year",78.450
False,63,"Month-to-month",103.500
False,60,"Month-to-month",79.050
False,19,"Month-to-month",20.600
True,12,"One year",19.800
True,41,"Month-to-month",70.250
False,25,"One year",54.750
False,71,"Two year",113.150
True,56,"Two year",25.150
False,8,"Month-to-month",21.050
False,20,"Month-to-month",70.550
False,43,"Two year",19.550
False,17,"Month-to-month",35.650
False,44,"Month-to-month",19.600
False,2,"Month-to-month",19.500
False,71,"Two year",19.900
False,72,"Two year",108.650
False,18,"Month-to-month",19.650
False,67,"One year",105.400
False,56,"Month-to-month",109.600
True,1,"Month-to-month",69.900
False,69,"Two year",92.150
False,1,"One year",19.850
True,1,"Month-to-month",20.150
False,25,"One year",19.900
True,1,"Month-to-month",85.050
False,55,"Two year",25.700
False,53,"Month-to-month",108.250
False,59,"One year",20.350
True,16,"Month-to-month",98.750
False,7,"Month-to-month",71.050
False,3,"Month-to-month",30.750
False,64,"Two year",25.650
False,51,"Two year",85.500
True,1,"Month-to-month",69.750
False,69,"One year",20.350
True,1,"Month-to-month",69.100
False,38,"Two year",20.400
True,3,"Month-to-month",19.600
False,56,"Two year",75.850
False,63,"One year",80.000
False,11,"Month-to-month",54.550
False,24,"Two year",19.700
False,72,"Two year",105.500
False,69,"One year",105.100
False,56,"One year",99.800
True,17,"Month-to-month",76.650
False,18,"Two year",25.100
False,11,"Two year",19.550
False,45,"One year",51.000
True,47,"Month-to-month",95.050
False,61,"Two year",101.050
False,66,"One year",74.250
False,42,"Month-to-month",54.550
False,55,"Two year",19.400
False,1,"Month-to-month",19.250
False,68,"One year",54.400
False,1,"Two year",20.350
False,17,"Month-to-month",49.800
False,15,"Month-to-month",51.100
False,28,"Month-to-month",64.400
False,28,"Month-to-month",105.800
False,40,"Two year",19.600
False,63,"Month-to-month",108.250
True,15,"Month-to-month",89.850
True,14,"One year",105.950
True,54,"Month-to-month",55.000
False,39,"Two year",100.450
False,48,"Two year",39.400
True,16,"Month-to-month",53.900
False,44,"One year",77.550
True,1,"Month-to-month",70.650
False,69,"One year",53.650
False,49,"Month-to-month",43.800
False,24,"One year",24.600
False,71,"Two year",23.950
False,61,"One year",98.450
False,18,"One year",20.100
False,27,"Month-to-month",53.800
False,64,"One year",111.450
False,1,"Month-to-month",19.850
False,50,"One year",84.150
False,30,"One year",70.250
False,57,"Two year",53.350
False,17,"Month-to-month",24.800
False,51,"One year",87.550
True,2,"Month-to-month",29.850
True,2,"Month-to-month",85.700
False,60,"One year",94.150
True,67,"Two year",108.750
False,33,"One year",39.100
False,38,"One year",70.600
False,1,"Month-to-month",19.750
True,1,"Month-to-month",74.950
False,16,"Month-to-month",20.400
False,72,"Two year",109.750
False,41,"Month-to-month",74.550
False,65,"Two year",109.300
False,72,"Two year",19.550
False,67,"Two year",20.050
False,49,"One year",106.650
False,19,"Month-to-month",88.800
False,69,"Month-to-month",85.400
False,47,"Month-to-month",25.400
False,53,"Two year",69.700
False,27,"Month-to-month",90.150
False,11,"Month-to-month",89.200
False,28,"One year",90.450
False,53,"One year",64.150
False,19,"One year",20.250
False,3,"One year",19.450
False,23,"One year",60.000
True,10,"Month-to-month",79.950
False,63,"Two year",89.400
True,38,"Month-to-month",83.900
False,61,"Two year",62.150
False,27,"Month-to-month",95.000
False,1,"Month-to-month",19.650
True,13,"Month-to-month",91.100
True,7,"Month-to-month",73.600
False,4,"Month-to-month",74.450
False,8,"Month-to-month",85.200
False,12,"Month-to-month",54.200
True,7,"Month-to-month",59.500
False,56,"Two year",80.300
False,52,"Two year",23.050
True,23,"One year",48.350
False,20,"Month-to-month",49.600
False,68,"Two year",56.400
False,3,"Month-to-month",86.050
True,6,"Month-to-month",49.650
False,50,"Two year",20.550
False,60,"Month-to-month",89.900
False,4,"Month-to-month",48.250
False,45,"Month-to-month",108.450
False,25,"Month-to-month",75.500
False,43,"One year",100.550
True,12,"Month-to-month",19.000
False,9,"Month-to-month",76.850
False,62,"Two year",65.100
False,40,"Month-to-month",20.400
False,6,"Month-to-month",26.350
False,20,"Two year",20.050
False,16,"Month-to-month",78.750
False,8,"One year",19.800
True,2,"Month-to-month",49.600
False,72,"Two year",91.150
True,50,"Month-to-month",105.950
False,21,"Month-to-month",75.300
False,64,"One year",115.000
False,3,"Month-to-month",65.250
False,58,"Two year",19.150
True,14,"Month-to-month",90.450
False,18,"Month-to-month",19.550
False,67,"Two year",26.100
True,1,"Month-to-month",20.100
False,61,"Two year",25.450
False,52,"Two year",19.650
False,14,"Two year",20.400
False,43,"Month-to-month",50.200
False,52,"Two year",24.800
True,2,"Month-to-month",54.400
False,4,"Month-to-month",80.250
True,31,"Month-to-month",99.950
False,5,"Month-to-month",19.450
False,27,"One year",110.500
True,4,"Month-to-month",54.300
False,23,"Month-to-month",34.650
True,9,"Month-to-month",75.750
True,55,"Month-to-month",96.800
False,49,"One year",56.300
False,71,"Two year",80.450
False,59,"One year",66.400
True,68,"One year",96.550
False,64,"Two year",81.300
False,72,"Two year",66.850
True,16,"Month-to-month",85.350
False,44,"One year",20.000
False,30,"Two year",19.700
True,12,"Month-to-month",43.650
False,39,"Two year",53.850
False,15,"One year",19.650
True,4,"Month-to-month",88.850
False,70,"One year",44.050
True,1,"Month-to-month",79.900
False,72,"Two year",110.600
False,72,"Two year",20.700
False,35,"One year",21.100
False,68,"One year",107.150
False,71,"Two year",84.800
False,70,"Two year",24.700
False,29,"One year",55.350
False,66,"Two year",19.350
False,20,"Month-to-month",89.950
False,55,"Two year",69.050
False,9,"Month-to-month",70.050
True,2,"Month-to-month",78.550
False,72,"Two year",97.850
False,49,"Two year",20.450
False,24,"Month-to-month",89.550
False,42,"Month-to-month",79.350
True,21,"Month-to-month",106.100
False,52,"One year",80.850
False,18,"Month-to-month",50.300
False,12,"Month-to-month",84.600
False,72,"Two year",108.400
True,3,"Month-to-month",75.500
False,52,"Month-to-month",110.750
True,46,"Month-to-month",30.300
True,53,"Month-to-month",98.400
True,15,"Month-to-month",55.000
False,70,"Two year",99.350
False,18,"Two year",20.100
False,7,"Month-to-month",25.050
False,54,"One year",24.750
True,1,"Month-to-month",24.250
False,68,"One year",86.450
False,72,"One year",101.350
False,55,"Two year",55.250
False,9,"Month-to-month",24.950
False,4,"Month-to-month",20.050
False,18,"One year",46.400
False,41,"One year",68.500
True,10,"Month-to-month",86.050
True,63,"Month-to-month",103.400
False,6,"Month-to-month",19.550
False,14,"One year",19.350
False,61,"Month-to-month",94.150
False,13,"Month-to-month",80.000
False,64,"One year",102.450
True,1,"Month-to-month",20.050
False,72,"Two year",115.600
False,27,"Month-to-month",71.600
False,22,"One year",59.750
False,11,"Month-to-month",60.900
False,4,"Two year",19.550
False,7,"Month-to-month",48.800
False,6,"Month-to-month",78.650
False,50,"One year",98.250
False,11,"Month-to-month",59.650
False,54,"One year",99.100
False,23,"Month-to-month",30.350
False,67,"One year",109.700
True,1,"Month-to-month",70.300
False,46,"One year",94.150
False,0,"Two year",56.050
False,48,"One year",24.350
False,40,"One year",55.800
True,11,"Month-to-month",66.350
True,4,"Month-to-month",94.300
False,30,"Month-to-month",48.800
False,15,"Month-to-month",91.000
True,7,"Month-to-month",20.050
False,16,"Month-to-month",80.550
False,9,"Month-to-month",20.450
False,7,"Month-to-month",18.950
True,3,"Month-to-month",91.050
False,20,"One year",76.000
False,11,"Month-to-month",72.900
False,1,"Month-to-month",95.850
False,44,"Month-to-month",85.150
False,43,"Month-to-month",29.300
False,24,"Two year",20.750
True,21,"Month-to-month",74.050
False,7,"One year",35.300
False,57,"Two year",19.750
False,11,"Month-to-month",69.350
True,3,"Month-to-month",105.900
False,57,"Two year",107.950
False,23,"One year",20.000
