Rank,District/ Agency,"Province/Region","EducationScore",Enrolment Score,"LearningScore","Gender ParityScore"
105,Muzaffargarh,Punjab,50.7,21.75,71.48,58.88
106,Jaffarabad,Balochistan,49.83,22.49,78.83,48.18
107,Swat,KP,49.73,38.32,65.68,45.2
108,Dera Ismail Khan,KP,49.61,30.32,65.13,53.39
109,Tank,KP,48.66,27.33,58.33,60.31
110,Barkhan,Balochistan,48.65,22.7,78.68,44.59
111,Sanghar,Sindh,48.43,22.44,62.18,60.68
112,Kalat,Balochistan,47.66,35.26,88.5,19.21
113,Khuzdar,Balochistan,47.49,23.45,86.25,32.78
114,Charsadda,KP,47.47,38.54,52.55,51.31
115,Thatta,Sindh,46.88,9.49,60.28,70.87
116,Buner,KP,46.71,36.21,60.38,43.54
117,Diamir,GB,45.9,32.82,95.93,8.95
118,Matiari,Sindh,45.67,25.7,57.98,53.34
119,Kharan,Balochistan,45.66,24.81,65.55,46.63
120,Musakhail,Balochistan,44.8,18.46,77.43,38.52
121,Pishin,Balochistan,44.53,21.05,67.08,45.47
122,Hangu,KP,43.9,37.94,51.58,42.17
123,Jhal Magsi,Balochistan,42.42,12.98,80.3,33.99
124,Umerkot,Sindh,42.36,20.01,48.15,58.91
125,Badin,Sindh,42.14,15.01,51.85,59.57
126,Kashmore-Kandhkot,Sindh,41.97,24.27,65.23,36.41
127,"Tando MuhammadKhan",Sindh,41.68,11.74,48.58,64.73
128,Shangla,KP,41.21,21.03,54.05,48.55
129,Batagram,KP,40.86,21.25,65.4,35.92
130,Tor Ghar,KP,40.33,13.6,70.63,36.75
131,Tharparkar,Sindh,39.66,19.44,58.13,41.4
132,Harnai,Balochistan,39.14,15.74,80.23,21.46
133,Ghotki,Sindh,38.91,28.75,45.03,42.95
134,Chaghi,Balochistan,36.82,12.85,54.58,43.03
135,Jacobabad,Sindh,36.22,28.15,29.55,50.97
136,Kohistan,KP,35.93,7.87,64.33,35.6
137,FR DI Khan,FATA,35.9,25,78.77,3.95
138,FR Lakki Marwat,FATA,35.85,28.44,50.1,29
139,Killa Abdullah,Balochistan,31.38,12.41,36.93,44.82
140,Kohlu,Balochistan,28.22,17.5,56.2,10.96
141,Killa Saifullah,Balochistan,28.09,20.57,56.43,7.28
142,Sherani,Balochistan,27.83,14.72,68.78,0
143,Awaran,Balochistan,27.74,20.44,48.38,14.4
144,Washuk,Balochistan,26.27,22.93,40.65,15.23
